tt,qt5,qt25,qt50,qt75,qt95,wt5,wt25,wt50,wt75,wt95,lt5,lt25,lt50,lt75,lt95,st5,st25,st50,st75,st95,ct5,ct25,ct50,ct75,ct95,yt5,yt25,yt50,yt75,yt95,dt5,dt25,dt50,dt75,dt95,pt5,pt25,pt50,pt75,pt95,et5,et25,et50,et75,et95,nt5,nt25,nt50,nt75,nt95,bt5,bt25,bt50,bt75,bt95,ot5,ot25,ot50,ot75,ot95,ht5,ht25,ht50,ht75,ht95,ut5,ut25,ut50,ut75,ut95
2048.0,0.003663884690634613,0.01621810814541388,0.02476344713285967,0.03331694373062305,0.04577317026770749,0.01881577037466224,0.03083043955921848,0.039091288655726406,0.04730561202638292,0.05916853091860024,-0.005,0.00940087332035795,0.025566261217702876,0.04161253107158854,0.06474804750402985,-0.005,0.005296381688491155,0.02533311632636926,0.045516435792522084,0.07466316227797952,-0.005,0.008053086578471882,0.025464885385031027,0.04417853881918149,0.07099019156180736,0.031886653843741605,0.03661672993760422,0.04032800840176841,0.04441606602710464,0.05100065729853532,-0.1458582150609045,-0.028557753952344115,0.05392699790887678,0.135428958744361,0.25279584847836095,-0.1327852507776148,-0.022848383465144284,0.053882689474725964,0.12981946663788202,0.24013810138250702,-0.09110535931189717,0.017851492596785857,0.09382266983410481,0.1691062696987139,0.2783322177677407,-0.16363629888307923,-0.02345380687082599,0.07445144554769753,0.17256147137548314,0.31260374094971344,-0.10607536955596458,-0.02856616923870758,0.02129939020107987,0.08151845155222415,0.16699768282220745,-0.21008860460897155,-0.08901000011465186,-0.0028169349105660966,0.08503288820113397,0.21325876128575322,-0.05851563601245488,0.004152463921688551,0.047574363004618744,0.0914048068017427,0.15422799090969286,0.030168154535508064,0.03966601776054938,0.046296171945474765,0.05295541934152188,0.06252263844207251
2049.0,0.003969369962117892,0.016236287159182117,0.024798548020613154,0.03346156353456685,0.04593213323590768,0.018930659634630014,0.0308572656891973,0.039113112432967695,0.04726169967151909,0.059065578494214475,-0.005,0.009548407464605408,0.025666888823029744,0.041646462417669894,0.06456991549350348,-0.005,0.005415000945280494,0.025510518786540443,0.045741558081028685,0.07457275831150094,-0.005,0.007947858128271987,0.025450263349522516,0.044231366665949026,0.07121857322115877,0.03189532292056103,0.036649022642303575,0.040362844786821256,0.04446446073601157,0.051040181518400736,-0.14596759820512561,-0.028325408820834348,0.05399188434725358,0.13656984202860997,0.2551275791129472,-0.1327062261035936,-0.023098628553658962,0.05321751814047282,0.13033352930698072,0.240419782420277,-0.09106358460441269,0.017838673463361154,0.09336876512112607,0.16967038020523123,0.2788694301574732,-0.16253572471242766,-0.023241288939032538,0.07450090831398631,0.17182788138408198,0.3124243099936123,-0.10726671802317352,-0.02871798972668621,0.021206704797169393,0.08105294165283043,0.16678296479068067,-0.21168556299186775,-0.08955904668660683,-0.002759165480140111,0.08512997576875415,0.21309809915263145,-0.05834469125416689,0.004221269790375773,0.04802926964857106,0.09171167843219784,0.1536031259516581,0.030183449535486,0.03961288474279587,0.046238322211602796,0.05292944217726281,0.062461873784814645
2050.0,0.003800810380445133,0.016098645556880776,0.024796497273724946,0.033358389823749765,0.0458513486785923,0.019051379851940116,0.030885623721782336,0.039066574823494474,0.04729023874195373,0.059259244682507276,-0.005,0.009413569493301088,0.02527609867598229,0.041361406519935986,0.06472202401355164,-0.005,0.005281397544685795,0.025529770911259825,0.04550299224991812,0.07444601539986095,-0.005,0.007967911001768396,0.02554971891579152,0.044210825972130705,0.07097712760662774,0.03187860628494433,0.03662492515100654,0.04035261239362931,0.04441282491086619,0.05105756909412003,-0.1461953089182866,-0.02861688806853394,0.05340761357545214,0.1352072869999871,0.2526643043556854,-0.1333106372061324,-0.022312140145391623,0.053527840784790115,0.1302873572532386,0.24170171740412016,-0.09120494475183016,0.018446901057600426,0.09371432250940348,0.16952423188885324,0.27968909219925464,-0.1618411878844976,-0.02311436086141748,0.0750560368817003,0.17348069449891115,0.3123628513683815,-0.10566366109043727,-0.028311259355096596,0.022927048167804807,0.08202997031324687,0.16742491115774638,-0.21004626184446337,-0.08828265807561836,-0.0017267388995642272,0.08604182256848074,0.21404064814599427,-0.05805199904923351,0.004021674801416535,0.04785701235837227,0.09183427057627853,0.15425542787554486,0.030194953605118948,0.03969392899811332,0.0462644113861517,0.05290692453109611,0.06243818782238044
2051.0,0.00390561822477551,0.016193824560722134,0.02482125236409582,0.03340943231076631,0.0456943844065624,0.01881745519266201,0.030777797577118602,0.03906209782228317,0.0473230171810694,0.05929700247866621,-0.005,0.009478842522334278,0.02550948895021335,0.041506380435058825,0.06442548034492677,-0.005,0.005362120463570984,0.025561224346803683,0.04558893871667265,0.07418622523966836,-0.005,0.007979015059189267,0.02557699393978604,0.04410312436222226,0.07087080678415983,0.03187386934019963,0.036635582259247665,0.04033155711399525,0.04444026929238,0.051056239595680515,-0.14633476078537114,-0.02742766846947177,0.05422634717228102,0.135774290721642,0.252896678682171,-0.13311034488801687,-0.022987108834491732,0.05440112707114508,0.13045874098931698,0.23998815607065394,-0.09097845401661223,0.01799275568711574,0.09430487634530035,0.16967832343752542,0.27851287771684247,-0.16233566412813677,-0.02135865390371594,0.07490665878782193,0.17170281258269693,0.31298768610773303,-0.10720294383164836,-0.030014731435955525,0.02079782039281807,0.08080704322332996,0.16714365978455278,-0.21080573778094713,-0.08928834163640842,-0.002943754261677862,0.08568593171297745,0.21375981732832217,-0.05941565144704709,0.003880305866495604,0.04787110513540865,0.09119550209914025,0.15487818657845492,0.030229251041907167,0.039660410872538555,0.04623135223451203,0.052911111968540744,0.062443190009393974
2052.0,0.003794988013758965,0.016212889991273453,0.02483051745591698,0.03345991097703169,0.045886695031577975,0.018993921229616257,0.03080066990942481,0.0390600056596932,0.047199433006784884,0.05909627483827286,-0.005,0.00950872356232359,0.02559875948707918,0.04152175327074594,0.06451313909149843,-0.005,0.005403844962877765,0.02541365041731003,0.04577333613051793,0.07451906348270923,-0.005,0.007982192078772337,0.025547484856651346,0.04414267196354623,0.07094585657955815,0.031822693438436224,0.03663980123489299,0.04035403957169472,0.044440377861633296,0.05109029027000779,-0.1453996622808502,-0.027973676809433624,0.05368919507173609,0.13631609474193596,0.25515689631754734,-0.13289795279998645,-0.022979159785009085,0.05429715451465178,0.13109435551418658,0.24034258667308436,-0.09084978892804096,0.01758709546636606,0.09422355183905048,0.1702806994514807,0.2789842463710507,-0.16399255209873456,-0.022926204161246508,0.07555703017121139,0.1733335831819598,0.3124683014276531,-0.10653570858124849,-0.028839832553779678,0.021092850470356705,0.08061857888126082,0.16584974883197762,-0.20992264015469658,-0.08829204135646225,-0.0022932111204444538,0.08452570748705181,0.21197876042125396,-0.05873742544688906,0.004337157649819924,0.04814382789491847,0.09135730492598229,0.15409337327434175,0.030116867412604952,0.03964672954250572,0.046285781757473374,0.052888522126875476,0.062332835533350076
2053.0,0.003906370017463647,0.016261960514671783,0.02482261514277146,0.033421814560753056,0.045816691290683415,0.01901094339376747,0.030889960741238315,0.03909059568584501,0.047357289880705186,0.059153767751972605,-0.005,0.009554997180814775,0.025543736777239485,0.0415424451305152,0.06460446481690543,-0.005,0.005304554568588601,0.025433863710123697,0.04558231042667732,0.07443623244601365,-0.005,0.007981675122390525,0.025501219862533352,0.0441593582604798,0.07097293279674448,0.03184847980198068,0.036603119343542045,0.04031099374711714,0.04443846781866721,0.05101901801567943,-0.14782440729359408,-0.029223173272507345,0.05324425808490474,0.13588535419340153,0.25434495137498164,-0.13360341049665284,-0.023823962409974975,0.053884955267590406,0.13066438792347723,0.2412727794220699,-0.09202675230634472,0.016797086574747933,0.09389621634676903,0.16991074346827584,0.2795737840887318,-0.16551460436921345,-0.023099937888642168,0.07466845060292258,0.1728578406267826,0.31475026198125433,-0.10665119120799585,-0.02919096318628254,0.021281192505579867,0.08109847689707157,0.16611942400074248,-0.20943395235139406,-0.08865277166385274,-0.003175560485819059,0.08518816267197031,0.21204530536129176,-0.05916565380601917,0.0032222308786255035,0.04764143083481886,0.09152992706488194,0.15381894500976195,0.030179854472099654,0.039619136767428925,0.04625456832979827,0.052900862542958435,0.06237527806546967
2054.0,0.003853366761522523,0.01620865176268497,0.02473231924480242,0.03337220046385387,0.04581110433253867,0.018838451561403572,0.030854309844250034,0.03902232006774137,0.047274874340240365,0.05902694903099281,-0.005,0.009522178088506418,0.025545142564021572,0.04158577524836663,0.06469593851701269,-0.005,0.005249894838696328,0.025349693591955345,0.04561526526537371,0.07458240090396859,-0.005,0.007877147702444364,0.0254840807068396,0.04405777662722979,0.07124668843331955,0.03183885764014504,0.036613074597432516,0.04032687183633936,0.044379075510408914,0.051000648417865106,-0.1468614053347822,-0.028523082088737398,0.053304623748821195,0.13544608817267362,0.25343648120595447,-0.13337725619154045,-0.022373251101623914,0.053383246973199405,0.1299013680830976,0.23972605123901553,-0.09150889623071316,0.01834704386955202,0.09340789781258596,0.16917588434810063,0.2779303870103452,-0.16240015465872315,-0.022620456765422924,0.07381533518006958,0.17121035882472918,0.3122178052994475,-0.10594031588159529,-0.02904163130561509,0.021767290276953705,0.08099531355581359,0.1668063285111832,-0.2099327878330436,-0.08863637848344728,-0.003354303107419112,0.0849081661457538,0.21425389106545592,-0.05875203880921862,0.003993813758488193,0.04777073362871606,0.09144967471209994,0.15407828596852535,0.03008435987298913,0.0395878116968058,0.04627376094029277,0.05292338046320884,0.06250721178283725
2055.0,0.003916649736274188,0.016197927806205457,0.024796017159664823,0.03337031501612058,0.045688995454598265,0.01895713418605292,0.030735187016471634,0.03899918384932362,0.04725917665420554,0.05921199413075837,-0.005,0.009518631902513237,0.02548112161851908,0.04158833447095193,0.06472234184109263,-0.005,0.005356936800664444,0.025489886170862903,0.045537669365241215,0.07469773802807705,-0.005,0.008013881561682102,0.025466788119511825,0.044129505334936064,0.07098864950515357,0.03183992288251978,0.036580470549979656,0.04032139631486065,0.04439237990543074,0.05106068254666152,-0.1466529960004982,-0.02841044112680886,0.05340268536718566,0.135615933598257,0.25316819598064105,-0.13366982407215364,-0.0228925883557638,0.053937955560290796,0.13050212813228068,0.24049968095074306,-0.09182522324120083,0.017833564484343915,0.09396106715171798,0.16986979438838637,0.27888703352643957,-0.16314405950987043,-0.023208457250366344,0.0752652071181111,0.17257146743169874,0.3126760601342593,-0.10670568972555701,-0.029047841146761403,0.021276594763491453,0.08090229889525682,0.16676908365080337,-0.2103873526166024,-0.08929236219706596,-0.0037735669962538874,0.08436995475247253,0.21337395267249645,-0.059388442628921755,0.003492733467277862,0.04731937962450811,0.09173961374360981,0.15419539805997737,0.030085058878179912,0.039638674572572995,0.04627995598027883,0.05286838206960883,0.06240978034454897
2056.0,0.003776750344965518,0.016092459918132802,0.024710470864028482,0.03340042942722868,0.04584253144187207,0.01898964318299429,0.030795204023459172,0.03897728156483922,0.04721298056688954,0.058924654511884306,-0.005,0.009476462780789233,0.02553097353607895,0.041560838577038114,0.06470140291787815,-0.005,0.005362210797048468,0.025343558802549866,0.045363649922527664,0.07452211012487553,-0.005,0.007923051957887487,0.02544624709263539,0.043932265752168694,0.07094822821490275,0.03182537545680507,0.03659671738036535,0.0403257318305386,0.044425569156712155,0.051033956667292026,-0.14673354975953665,-0.028783887118339523,0.05353133857574482,0.1362978998319044,0.2537299929179933,-0.13386786733810424,-0.023641102670243885,0.05291523163034295,0.13037556420869212,0.24187587530824767,-0.09211420107594154,0.01718960073168492,0.09300143535730365,0.16975972458950306,0.2798991870119146,-0.1632494934732357,-0.02381838804056746,0.07440693665119455,0.1728395981404568,0.31431669615408664,-0.10729004815439329,-0.028771451912739686,0.021689034438218808,0.08138028902841699,0.1668458768379468,-0.21070298284667108,-0.0888932286393056,-0.003425456640845023,0.08439065012159505,0.21425038835754015,-0.05938154597630768,0.0038589707116779906,0.047689556871820596,0.09173706572514295,0.1542561356810485,0.030051624913599535,0.03967701039322628,0.04630738299719209,0.05288260888132343,0.06240377588212125
2057.0,0.003934157495328424,0.016195563470827762,0.024742601125531734,0.033372860167493225,0.045665803963686497,0.01891813714202751,0.030725514386243657,0.038977571200853385,0.047270932968768664,0.05910320795384174,-0.005,0.00945931834849762,0.02539594756268073,0.0414482556211202,0.06472274532097456,-0.005,0.005334793585182472,0.025366101562298647,0.04543263668546259,0.07474272333172645,-0.005,0.00808089843910137,0.025400242153385884,0.04397395304675125,0.07114352975428516,0.03185216275028166,0.036614239804925154,0.040313362211765166,0.044400406326490435,0.05103925554469905,-0.14749154952818438,-0.029518041613669225,0.05320341243034063,0.13547580723155492,0.25424108465284234,-0.13262507975454846,-0.02360479211042188,0.05353965446112596,0.12989320665054338,0.23983460199646264,-0.09054685569054373,0.017447359350408184,0.09347696212673941,0.16917703647523183,0.27759754476354737,-0.16308207580701634,-0.022443902283594035,0.07425651555811742,0.17152268056597966,0.313059098971986,-0.10554662646127944,-0.02887725413541674,0.02146644814104396,0.0811083062096908,0.16650604627681,-0.20971227231450137,-0.08875152160422102,-0.0019434871169719398,0.08567994449340754,0.21356377063967738,-0.059387927845922686,0.003546296832143017,0.04756080508378906,0.09133444987867831,0.15485490334647076,0.030086805240219575,0.03963027367193037,0.046272795584303736,0.05289363813812617,0.06237449747675207
